,Sesion,Dia,R2,MAE_REG,MAE_ML,COEFICIENTE_TEMPERATURA,COEFICIENTE_HUMEDAD,COEFICIENTE_HORA_MINUTO,INTERCEPTO
0,KOM,Lunes,0.04648260452954123,4.13375799288998,1.1756555616083866,0.5338786184140859,0.08084607090841424,-0.0017232343361840601,-41.63088108665666
1,KOM,Martes,0.2879399768568044,2.921774877500459,0.9575957165139775,-0.2895321261875852,-0.2874232659358774,-0.32612325583049645,57.8155920027368
2,KOM,Miércoles,0.08104592689538404,4.415989923401057,1.1826924386446533,0.023366707246220177,-0.14445724898540432,0.03945485949053086,16.548673572208926
3,KOM,Jueves,0.1991595851086998,4.067178175528781,1.6574244779126046,-0.3459635165462905,-0.2864689384206271,0.3137369966002823,59.052436618640044
4,KOM,Viernes,0.2132580524332105,4.062923960736326,1.727914076450046,0.06901927431396548,0.0152889638984584,-0.3919758614340042,8.370183234856146
5,KOM,Sábado,0.17011578734854405,4.242689327336539,1.6933875812999633,1.016309715640732,0.38812759045487355,-0.18039164218487433,-103.09887006625533
6,KOM,Domingo,0.038419774066485335,3.5952856699119056,0.8996805232268917,0.2444477160871279,0.0914757509448543,-0.08485096175836866,-19.794426196260893
7,DMR,Lunes,0.15594573447075033,3.745362532840412,1.4026958843852166,1.3566272530803283,0.8738278024187046,-0.018476665006275192,-166.4247009120064
8,DMR,Martes,0.18188044380050203,3.3891323007241074,1.2159503025928913,1.1807753390172762,0.4850364766282842,-0.1447673067629984,-124.05030839650841
9,DMR,Miércoles,0.31328962749639755,3.9973434078465373,1.4589019067130804,1.289671951758805,0.3517444906859161,-0.014974613867323093,-124.42364998522649
10,DMR,Jueves,0.2052022940795584,4.308765729048442,1.8572726448630248,1.3830400600400057,0.5944963437728942,0.0014758563144293762,-148.05940195200068
11,DMR,Viernes,0.1987034134025477,3.722623757207516,1.8910526922506656,0.7305031911683747,0.44966230017321607,-0.29965536710348867,-79.49098253979861
12,DMR,Sábado,0.3206345303274373,3.858005582490687,1.4659641534562207,2.043695544680824,0.94227042583993,-0.0609450305561336,-228.97380921820167
13,DMR,Domingo,0.23649227210622062,3.276977156590624,1.5961641340561261,1.8911584298887676,1.1388729492287648,0.05083719471742574,-232.33107587028994
