Timestamp,PM2.5
2019-10-07,10.786157024793388
2019-10-08,11.015994436717664
2019-10-09,13.480528511821975
2019-10-10,14.82892906815021
2019-10-11,12.44258872651357
2019-10-12,12.417536534446764
2019-10-13,6.095982142857143
2019-10-14,7.495476687543493
2019-10-15,7.387883008356546
2019-10-16,10.422657952069716
2019-10-17,12.000695410292073
2019-10-18,5.126457399103139
2019-10-19,8.07122905027933
2019-10-20,8.686847599164928
2019-10-21,7.495470383275261
2019-10-22,9.93398193189715
2019-10-23,12.331941544885177
2019-10-24,11.283333333333333
2019-10-25,12.960057061340942
2019-10-26,12.80840088430361
2019-10-27,13.371212121212121
2019-10-28,11.01391788448156
2019-10-29,10.789290681502086
2019-10-30,13.954703832752614
2019-10-31,14.725312934631432
2019-11-01,11.903270702853167
2019-11-02,11.573426573426573
2019-11-03,7.880427521710087
2019-11-04,9.451321279554938
2019-11-05,9.601962158374212
2019-11-06,8.648573416840641
2019-11-07,10.963813500347948
2019-11-08,10.29002808988764
2019-11-09,9.061891515994438
2019-11-10,7.543810848400557
2019-11-11,9.909533750869867
2019-11-12,6.549374130737135
2019-11-13,6.1328671328671325
2019-11-14,8.876216968011127
2019-11-15,9.052301255230125
2019-11-16,12.621583742116329
2019-11-17,9.809885931558936
