Indice,Latitud,Longitud,Ubicacion
0,3.3662509881154086,-76.53017900119092,"https://www.google.com/maps/search/?api=1&query=3.3662509881154086,-76.53017900119092"
1,3.3642104058495037,-76.53160565903951,"https://www.google.com/maps/search/?api=1&query=3.3642104058495037,-76.53160565903951"
2,3.3619179481092765,-76.53130798806914,"https://www.google.com/maps/search/?api=1&query=3.3619179481092765,-76.53130798806914"
3,3.3597695810136514,-76.53062607197552,"https://www.google.com/maps/search/?api=1&query=3.3597695810136514,-76.53062607197552"
4,3.35744327332137,-76.5304076275759,"https://www.google.com/maps/search/?api=1&query=3.35744327332137,-76.5304076275759"
5,3.3549044373100827,-76.53030159416437,"https://www.google.com/maps/search/?api=1&query=3.3549044373100827,-76.53030159416437"
6,3.3523440279705703,-76.53024188223176,"https://www.google.com/maps/search/?api=1&query=3.3523440279705703,-76.53024188223176"
7,3.3496685536220947,-76.53038707841836,"https://www.google.com/maps/search/?api=1&query=3.3496685536220947,-76.53038707841836"
8,3.34703108721969,-76.53055586373745,"https://www.google.com/maps/search/?api=1&query=3.34703108721969,-76.53055586373745"
9,3.3437427396505965,-76.5306076531181,"https://www.google.com/maps/search/?api=1&query=3.3437427396505965,-76.5306076531181"
