Sesion,Timestamp,Latitud,Longitud,PM2.5
M-O-AM-06NOV19-DMR,2019-11-06 08:44:53.092,3.3659255,-76.52856329999999,6.0
M-O-AM-06NOV19-DMR,2019-11-06 08:44:54.090,3.3659255,-76.52856329999999,6.0
M-O-AM-06NOV19-DMR,2019-11-06 08:44:55.099,3.3659324999999995,-76.52857370000001,7.0
M-O-AM-06NOV19-DMR,2019-11-06 08:44:56.105,3.3659324999999995,-76.52857370000001,7.0
M-O-AM-06NOV19-DMR,2019-11-06 08:44:57.115,3.3659358999999998,-76.52857490000001,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:44:58.098,3.3659449999999995,-76.5285815,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:44:59.090,3.3659449999999995,-76.5285815,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:00.084,3.3659513999999997,-76.5285849,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:01.083,3.3659513,-76.52858409999999,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:02.070,3.3659513,-76.52858409999999,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:03.108,3.3659505,-76.52858140000001,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:04.101,3.3659505,-76.52858140000001,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:05.143,3.3659521,-76.52857970000001,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:06.127,3.3659532999999997,-76.52857890000001,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:07.081,3.3659550000000005,-76.5285772,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:08.118,3.3659550000000005,-76.5285772,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:09.111,3.3659578000000003,-76.528573,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:10.090,3.3659578000000003,-76.528573,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:11.105,3.3659582,-76.5285709,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:12.120,3.3659582,-76.5285705,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:13.138,3.3659583,-76.5285703,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:14.113,3.3659583,-76.5285702,7.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:15.104,3.3659583,-76.5285702,7.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:16.101,3.3659583,-76.52857,7.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:17.112,3.3659583,-76.52857,7.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:18.081,3.3659583,-76.52857,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:19.068,3.3659583,-76.52857,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:20.105,3.3659583,-76.52857,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:21.110,3.3659491999999998,-76.5285795,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:22.092,3.3659464,-76.52859509999999,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:23.118,3.3659479,-76.52861429999999,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:24.115,3.3659553,-76.5286378,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:25.101,3.3659653,-76.5286611,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:26.066,3.3659653,-76.5286611,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:27.095,3.3659888,-76.5287063,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:28.114,3.366,-76.5287345,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:29.096,3.366,-76.5287345,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:30.098,3.3660238,-76.5287847,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:31.127,3.3660398999999996,-76.5288077,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:32.165,3.3660398999999996,-76.5288077,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:33.101,3.3660661,-76.52886529999999,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:34.089,3.3660661,-76.52886529999999,9.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:35.094,3.3660892999999996,-76.52891740000001,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:36.077,3.3661074,-76.528942,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:37.085,3.366125,-76.5289642,8.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:38.120,3.366125,-76.5289642,7.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:39.123,3.3661534,-76.52900859999998,7.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:40.129,3.3661534,-76.52900859999998,7.0
M-O-AM-06NOV19-DMR,2019-11-06 08:45:41.095,3.3661822,-76.5290535,8.0
