,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896100C6C,AirBeam2:001896100C6C,AirBeam2:001896100C6C,AirBeam2:001896100C6C,AirBeam2:001896100C6C
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,M-I-AM-05NOV19-CLA,2019-11-05T10:47:15.347,3.3676285,-76.5306737,,,1.0,,
2,M-I-AM-05NOV19-CLA,2019-11-05T10:47:16.098,3.3676285,-76.5306737,85.0,,,,
3,M-I-AM-05NOV19-CLA,2019-11-05T10:47:16.105,3.3676285,-76.5306737,,0.0,,,51.0
4,M-I-AM-05NOV19-CLA,2019-11-05T10:47:16.108,3.3676285,-76.5306737,,,,1.0,
5,M-I-AM-05NOV19-CLA,2019-11-05T10:47:16.350,3.3675958,-76.5306122,,,1.0,,
6,M-I-AM-05NOV19-CLA,2019-11-05T10:47:17.096,3.3675958,-76.5306122,85.0,,,,
7,M-I-AM-05NOV19-CLA,2019-11-05T10:47:17.103,3.3675958,-76.5306122,,,,,51.0
8,M-I-AM-05NOV19-CLA,2019-11-05T10:47:17.104,3.3675958,-76.5306122,,0.0,,0.0,
9,M-I-AM-05NOV19-CLA,2019-11-05T10:47:17.119,3.3675958,-76.5306122,,,0.0,,
10,M-I-AM-05NOV19-CLA,2019-11-05T10:47:18.101,3.3675571,-76.5305477,85.0,,,,51.0
11,M-I-AM-05NOV19-CLA,2019-11-05T10:47:18.101,3.3675571,-76.5305477,,0.0,,,
12,M-I-AM-05NOV19-CLA,2019-11-05T10:47:18.102,3.3675571,-76.5305477,,,,0.0,
13,M-I-AM-05NOV19-CLA,2019-11-05T10:47:18.346,3.3675571,-76.5305477,,,0.0,,
14,M-I-AM-05NOV19-CLA,2019-11-05T10:47:19.096,3.3675571,-76.5305477,85.0,,,,
15,M-I-AM-05NOV19-CLA,2019-11-05T10:47:19.103,3.3675571,-76.5305477,,,,,51.0
16,M-I-AM-05NOV19-CLA,2019-11-05T10:47:19.106,3.3675571,-76.5305477,,0.0,,,
17,M-I-AM-05NOV19-CLA,2019-11-05T10:47:19.107,3.3675571,-76.5305477,,,,0.0,
18,M-I-AM-05NOV19-CLA,2019-11-05T10:47:19.351,3.3674736,-76.5304247,,,0.0,,
19,M-I-AM-05NOV19-CLA,2019-11-05T10:47:20.096,3.3674736,-76.5304247,85.0,,,,
20,M-I-AM-05NOV19-CLA,2019-11-05T10:47:20.105,3.3674736,-76.5304247,,0.0,,1.0,51.0
21,M-I-AM-05NOV19-CLA,2019-11-05T10:47:20.115,3.3674736,-76.5304247,,,1.0,,
22,M-I-AM-05NOV19-CLA,2019-11-05T10:47:21.101,3.3674144,-76.5303639,85.0,,,,51.0
23,M-I-AM-05NOV19-CLA,2019-11-05T10:47:21.101,3.3674144,-76.5303639,,0.0,,,
24,M-I-AM-05NOV19-CLA,2019-11-05T10:47:21.103,3.3674144,-76.5303639,,,,0.0,
25,M-I-AM-05NOV19-CLA,2019-11-05T10:47:21.346,3.3673421,-76.5303055,,,0.0,,
